appid,game_name,slice,recommendationid,steamid,num_games_owned,num_reviews,playtime_forever,playtime_last_two_weeks,playtime_at_review,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access
2868840,Slay the Spire 2,bomb_window,225615673,76561198044961304,743,42,2534,299,1244,english,Its just an amazing game in all ways and the multiplayer is way too much fun  Also the balancing between patches has been a bit rough but playing on the beta branch it seems to have gotten a lot better as of the writing of this review,1778889589,1778889589,True,0,0,0.497564375400543213,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225615477,76561198349120006,0,31,957,0,591,english,"gud game, better than the original and comically fun in co-op",1778889392,1778889392,True,0,0,0.5,0,False,False,True
2868840,Slay the Spire 2,bomb_window,225615373,76561198089973557,538,42,3303,119,2675,english,"had a lot of fun playing by myself and especially in co-op, something i didnt realize i would even enjoy in this kind of game. i am excited for there to be more content because this already feels like a mostly complete game",1778889297,1778889527,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225615360,76561198036019085,0,2,4954,0,4059,english,"Anita Sarkeesian is listed as a consultant. Cannot in good faith recommend a game whose developers hired a hateful political extremist so blatantly intent on destroying gaming as a hobby.  Besides that, the game is great, but seemingly headed in the wrong direction, despite the very vocal community - the developers insist on making the game harder and harder, and removing fun but ""unfair"" interactions that could make the game easier. All of this is happening despite the game having a built in challenge mode in the form of ascensions.",1778889281,1778889281,False,17,0,0.523135900497436523,1,True,False,True
2868840,Slay the Spire 2,bomb_window,225615108,76561198063570337,0,35,31881,2222,24021,english,Insanely fun and challenging rougelike deckbuilder. Possibly best in class. The multiplayer is fun to play with friends. 10/10 would recommend.,1778889024,1778889024,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225615080,76561198042662193,1141,21,2563,0,2563,english,Peak deckbuilder. Only getting better every patch.,1778889002,1778889002,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225614890,76561198096524550,96,1,30375,1711,18494,english,greatest game of all time,1778888832,1778888832,True,0,1,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225614875,76561199827913337,0,1,10221,281,5997,english,"Don't be discouraged by the negative reviews, the game is great and worth trying out.  As a sequel to Spire 1, it's mechanically the same, but with much more interesting boss rewards (ancient boons) and an alternative Act 1. I expect alternative Acts 2 and 3 to greatly increase not just variety but also strategic depth because you will have to prepare for twice as many challenges while drafting in Act 1. There are two new characters, and all of the characters ported from Spire 1 have new synergy spaces. Status Defect is peak. If you are new to Spire, it's important to realize that Spire is a game that leans hardcore; the base difficulty, A0, is meant to be challenging for people new to Spire, while the highest difficulty, A10, is meant to be challenging even for people who have spent hundreds of hours playing. Do not feel like you have to play on higher difficulty just because it exists. You may face challenges that feel insurmountable, but one of most fun aspects of playing Spire is dying to some elite or boss, recognizing that you might want to be wary of that enemy, drafting cards strong against that enemy in future runs, and improving at the game in the process.",1778888820,1778888820,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225614678,76561198034195156,0,11,787,0,787,english,great game,1778888618,1778888618,True,0,0,0.5,0,True,False,True
2868840,Slay the Spire 2,bomb_window,225614555,76561198048284834,1196,10,1066,0,1066,english,Slay the spire 1 is better this just copies some workshop mods and adds it to the game.  Also company supports and hires well known activists that are ruining gaming as a whole.,1778888486,1778888486,False,8,1,0.523809552192687988,1,True,False,True
